setting,telemetry_spec,telemetry_only_mae_mL,road_augmented_mae_mL,gain_percent,lower_percent,upper_percent,n_segments,n_trips,n_vehicles,interval_type,source_path
unseen_vehicle,without_RPM,17.238943381973602,16.3652896757904,5.067907509324206,4.336862849035255,5.873332288045063,112787,14647,197,pointwise percentile 95%; vehicle clusters; fixed OOF fits; 2000 replicates,tables/primary_results.csv
unseen_vehicle,with_RPM,15.738451032838102,15.606671933508,0.8373066641384987,-0.1314269750663289,1.8041325753219335,112787,14647,197,pointwise percentile 95%; vehicle clusters; fixed OOF fits; 2000 replicates,tables/primary_results.csv
cold_trip,without_RPM,17.0468465871224,15.8043178689408,7.288906554249162,5.72373985042309,8.8540732580752,17376,2196,179,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,tables/primary_results.csv
cold_trip,with_RPM,15.0272919875849,14.494947938803799,3.5425148404712874,1.80595228456033,5.27907739638225,17376,2196,179,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,tables/primary_results.csv
cold_month,without_RPM,16.1955178564029,14.743827341764101,8.963532549623757,6.52653279131052,11.40053230793697,6260,837,94,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,tables/primary_results.csv
cold_month,with_RPM,13.7893124907434,13.1704726824266,4.487822063153647,1.60183260779543,7.373811518511889,6260,837,94,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,tables/primary_results.csv
cold_spatial,without_RPM,11.3985192488153,11.4843825027979,-0.7532842828819816,-4.1492473573868605,2.64267879162294,10550,3445,167,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,tables/primary_results.csv
cold_spatial,with_RPM,10.887311586401,11.4841753788253,-5.482196295087845,-12.777392942472678,1.81300035229704,10550,3445,167,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,tables/primary_results.csv
cold_functional_road_class,without_RPM,46.2691835685073,48.7917802657109,-5.452001748568833,-7.19986678972417,-3.70413670741352,8957,1369,139,simultaneous max-standardized bootstrap; original 24 road_gain contrasts (4 settings x 2 telemetry x 3 real/control); 2000 vehicle draws,tables/primary_results.csv
cold_functional_road_class,with_RPM,41.1903913011464,44.3616809969727,-7.699100677730195,-10.37286744583782,-5.02533390962253,8957,1369,139,simultaneous max-standardized bootstrap; 24 model_real_gain contrasts; 2000 vehicle draws; fixed fits,tables/primary_results.csv
