quantity,setting,value,lower,upper,unit,family,source_path,source_key,numerator,denominator
D1,cold_trip,1.6453676214373425,0.9657752530903926,2.3249599897842925,percentage points,cold_trip_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=1,,
D2,cold_trip,0.9298224829336055,0.2741497403334662,1.585495225533745,percentage points,cold_trip_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=2,,
D4,cold_trip,0.20957987444385576,-0.5675752227453257,0.9867349716330371,percentage points,cold_trip_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=4,,
D8,cold_trip,0.2663310729643016,-0.6145000377691971,1.1471621836978003,percentage points,cold_trip_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=8,,
Dprefix,cold_trip,0.26918561665773577,-0.6123829612239369,1.1507541945394084,percentage points,cold_trip_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix,,
Dcomplete,cold_trip,0.14296129846244718,-0.6273213879890966,0.9132439849139911,percentage points,cold_trip_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete,,
Laggregation,cold_trip,1.3761820047796067,0.6261276764449647,2.148251451284998,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Laggregation,,
Ltail,cold_trip,0.1262243181952886,-0.15668251375769132,0.43247741404059353,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltail,,
Ltrip,cold_trip,1.5024063229748954,0.8225129601527749,2.1990877753190556,percentage points,pointwise,data/accounting/ATTENUATION_COMPONENTS.csv,setting=cold_trip;training_loss=absolute_error;column=Ltrip,,
Pi_complete,cold_trip,62.7906976744186,,,percent,original persistence family,data/accounting/original/SCALE_RESULTS.csv,setting=cold_trip;state=B;H=COMPLETE_TRIP_COMMON8,54.0,86.0
prefix_raw_gain,cold_trip,212.1374543822949,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;column=raw_gain_mL,,
prefix_target_volume,cold_trip,78807.1283362898,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=full_prefix;column=target_volume,,
complete_raw_gain,cold_trip,138.4566765494419,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;column=raw_gain_mL,,
complete_target_volume,cold_trip,96849.06197589655,,,mL,descriptive,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=complete;column=target_volume,,
D1,unseen_vehicle,1.2203774334306405,0.8604717780529493,1.580283088808332,percentage points,unseen_vehicle_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=1,,
D2,unseen_vehicle,0.6255084681091538,0.24612482358859922,1.0048921126297086,percentage points,unseen_vehicle_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=2,,
D4,unseen_vehicle,0.11417443402845788,-0.33019079394060735,0.5585396619975231,percentage points,unseen_vehicle_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=4,,
D8,unseen_vehicle,-0.22387748491095033,-0.6531007520154589,0.20534578219355826,percentage points,unseen_vehicle_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=8,,
Dprefix,unseen_vehicle,-0.18355031011055847,-0.6149165973389876,0.24781597711787065,percentage points,unseen_vehicle_absolute_error_D_six,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=full_prefix,,
