Quantity,Unseen trips,Unseen vehicles,October 2018
Road-attribute gain by accounting scale (pp); simultaneous 95% CIs
D1,"1.645 [0.966, 2.325]","1.220 [0.860, 1.580]","2.490 [1.491, 3.489]"
D2,"0.930 [0.274, 1.585]","0.626 [0.246, 1.005]","1.309 [0.309, 2.309]"
D4,"0.210 [−0.568, 0.987]","0.114 [−0.330, 0.559]","0.188 [−0.891, 1.267]"
D8,"0.266 [−0.615, 1.147]","−0.224 [−0.653, 0.205]","0.048 [−1.010, 1.105]"
Dprefix,"0.269 [−0.612, 1.151]","−0.184 [−0.615, 0.248]","0.098 [−0.849, 1.046]"
Dcomplete,"0.143 [−0.627, 0.913]","−0.324 [−0.806, 0.158]","−0.136 [−1.721, 1.450]"
Sources of gain attenuation (pp); pointwise 95% vehicle-cluster CIs
Laggregation,"1.376 [0.626, 2.148]","1.404 [1.123, 1.687]","2.391 [1.491, 3.287]"
Ltail,"0.126 [−0.157, 0.432]","0.140 [−0.041, 0.347]","0.234 [−0.516, 1.114]"
Ltrip,"1.502 [0.823, 2.199]","1.544 [1.266, 1.855]","2.626 [1.368, 3.973]"
Complete-trip persistence among trips with positive accumulated gain
Πcomplete,62.79% (54/86),58.94% (323/548),61.11% (33/54)
Raw gain and target volume (mL)
Prefix raw gain,212.137,−997.941,38.863
Complete-trip raw gain,138.457,−2167.200,−67.692
Prefix target volume,"78,807.128","543,687.786","39,513.762"
Complete-trip target volume,"96,849.062","668,985.018","49,867.490"
