quantity,setting,field,source_full_precision,manuscript_display,source_path,source_key
D1,cold_trip,value,1.6453676214373425,1.645,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=1;source_column=D
D1,cold_trip,lower,0.9657752530903926,0.966,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=1;source_column=CI_lower
D1,cold_trip,upper,2.3249599897842925,2.325,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=1;source_column=CI_upper
D1,unseen_vehicle,value,1.2203774334306405,1.220,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=1;source_column=D
D1,unseen_vehicle,lower,0.8604717780529493,0.860,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=1;source_column=CI_lower
D1,unseen_vehicle,upper,1.580283088808332,1.580,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=1;source_column=CI_upper
D1,cold_month,value,2.48975730067507,2.490,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=1;source_column=D
D1,cold_month,lower,1.4908001213965942,1.491,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=1;source_column=CI_lower
D1,cold_month,upper,3.488714479953546,3.489,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=1;source_column=CI_upper
D2,cold_trip,value,0.9298224829336055,0.930,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=2;source_column=D
D2,cold_trip,lower,0.2741497403334662,0.274,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=2;source_column=CI_lower
D2,cold_trip,upper,1.585495225533745,1.585,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=2;source_column=CI_upper
D2,unseen_vehicle,value,0.6255084681091538,0.626,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=2;source_column=D
D2,unseen_vehicle,lower,0.24612482358859922,0.246,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=2;source_column=CI_lower
D2,unseen_vehicle,upper,1.0048921126297086,1.005,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=2;source_column=CI_upper
D2,cold_month,value,1.3090160752651452,1.309,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=2;source_column=D
D2,cold_month,lower,0.30916044719808067,0.309,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=2;source_column=CI_lower
D2,cold_month,upper,2.3088717033322097,2.309,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=2;source_column=CI_upper
D4,cold_trip,value,0.20957987444385576,0.210,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=4;source_column=D
D4,cold_trip,lower,-0.5675752227453257,−0.568,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=4;source_column=CI_lower
D4,cold_trip,upper,0.9867349716330371,0.987,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=4;source_column=CI_upper
D4,unseen_vehicle,value,0.11417443402845788,0.114,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=4;source_column=D
D4,unseen_vehicle,lower,-0.33019079394060735,−0.330,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=4;source_column=CI_lower
D4,unseen_vehicle,upper,0.5585396619975231,0.559,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=4;source_column=CI_upper
D4,cold_month,value,0.1881049380556258,0.188,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=4;source_column=D
D4,cold_month,lower,-0.8905972729065678,−0.891,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=4;source_column=CI_lower
D4,cold_month,upper,1.2668071490178194,1.267,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_month;training_loss=absolute_error;scale=4;source_column=CI_upper
D8,cold_trip,value,0.2663310729643016,0.266,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=8;source_column=D
D8,cold_trip,lower,-0.6145000377691971,−0.615,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=8;source_column=CI_lower
D8,cold_trip,upper,1.1471621836978003,1.147,data/accounting/SIX_SCALE_RESULTS.csv,setting=cold_trip;training_loss=absolute_error;scale=8;source_column=CI_upper
D8,unseen_vehicle,value,-0.22387748491095033,−0.224,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=8;source_column=D
D8,unseen_vehicle,lower,-0.6531007520154589,−0.653,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=8;source_column=CI_lower
D8,unseen_vehicle,upper,0.20534578219355826,0.205,data/accounting/SIX_SCALE_RESULTS.csv,setting=unseen_vehicle;training_loss=absolute_error;scale=8;source_column=CI_upper
