panel,setting,statistic,estimate,lower,upper,unit,interval_type,source_path,source_key
a,cold_trip,gain_lower_information,7.288906554249152,5.723739850423097,8.854073258075209,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_trip;telemetry_spec=without_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_trip,gain_lower_plus_rpm,3.542514840471283,1.80595228456033,5.27907739638225,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_trip;telemetry_spec=with_RPM;fields=gain_percent,lower_percent,upper_percent"
a,unseen_vehicle,gain_lower_information,5.067907509324197,4.336862849035255,5.873332288045063,percent,pointwise_vehicle_cluster_95_oof,results/primary_effects.csv,"setting=unseen_vehicle;telemetry_spec=without_RPM;fields=gain_percent,lower_percent,upper_percent"
a,unseen_vehicle,gain_lower_plus_rpm,0.8373066641384959,-0.1314269750663289,1.804132575321934,percent,pointwise_vehicle_cluster_95_oof,results/primary_effects.csv,"setting=unseen_vehicle;telemetry_spec=with_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_month,gain_lower_information,8.963532549623759,6.526532791310527,11.40053230793697,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_month;telemetry_spec=without_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_month,gain_lower_plus_rpm,4.487822063153651,1.60183260779543,7.37381151851189,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_month;telemetry_spec=with_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_spatial,gain_lower_information,-0.7532842828819751,-4.149247357386863,2.642678791622944,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_spatial;telemetry_spec=without_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_spatial,gain_lower_plus_rpm,-5.482196295087834,-12.777392942472678,1.81300035229704,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_spatial;telemetry_spec=with_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_functional_road_class,gain_lower_information,-5.452001748568836,-7.199866789724179,-3.7041367074135216,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_functional_road_class;telemetry_spec=without_RPM;fields=gain_percent,lower_percent,upper_percent"
a,cold_functional_road_class,gain_lower_plus_rpm,-7.6991006777302,-10.372867445837821,-5.02533390962253,percent,simultaneous_vehicle_cluster_95,results/primary_effects.csv,"setting=cold_functional_road_class;telemetry_spec=with_RPM;fields=gain_percent,lower_percent,upper_percent"
b,cold_trip,paired_RPM_attenuation,3.7463917137778577,2.824042893071892,4.647243016615408,percentage points,pointwise_vehicle_cluster_percentile_95,data/energy/figure_data/figure03/FIG3_ATTENUATION_SOURCE_DATA.csv,environment=cold_trip
b,unseen_vehicle,paired_RPM_attenuation,4.230600845185772,3.4429946166388525,5.019505639291662,percentage points,pointwise_vehicle_cluster_percentile_95,data/energy/figure_data/figure03/FIG3_ATTENUATION_SOURCE_DATA.csv,environment=unseen_vehicle
b,cold_month,paired_RPM_attenuation,4.475710486470106,2.656541139536945,6.098718921985813,percentage points,pointwise_vehicle_cluster_percentile_95,data/energy/figure_data/figure03/FIG3_ATTENUATION_SOURCE_DATA.csv,environment=cold_month
b,cold_spatial,paired_RPM_attenuation,4.728912012205843,1.316541720563532,7.694040635068244,percentage points,pointwise_vehicle_cluster_percentile_95,data/energy/figure_data/figure03/FIG3_ATTENUATION_SOURCE_DATA.csv,environment=cold_spatial
b,cold_functional_road_class,paired_RPM_attenuation,2.247098929161332,1.1716878693543726,3.4610144073992495,percentage points,pointwise_vehicle_cluster_percentile_95,data/energy/figure_data/figure03/FIG3_ATTENUATION_SOURCE_DATA.csv,environment=cold_functional_road_class
