display_role,csv_line,statistic,setting,task,family,interval_method,replicate_count,cluster_unit,interval_type,estimate,lower,upper,unit,max_T_critical,bootstrap_sd,seed,source_path,source_key
trajectory_y_state_interval,2.0,G_B,cold_trip,fuel,secondary_cold_trip,cluster-bootstrap percentile,2000.0,VehId,pointwise,1.2425287181815676,1.093503647337465,1.4074256653110264,mL/segment,,,4075892481.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=G_B
trajectory_y_state_interval,3.0,G_BK,cold_trip,fuel,F_cold_trip,max-T,2000.0,VehId,simultaneous,0.48850491594277656,0.3357678513454803,0.6412419805400729,mL/segment,2.44450524323262,0.062481790546424165,4075892481.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=G_BK
trajectory_y_state_interval,5.0,G_BKZ,cold_trip,fuel,F_cold_trip,max-T,2000.0,VehId,simultaneous,0.3272055135707781,0.18136879532495706,0.4730422318165991,mL/segment,2.44450524323262,0.05965899179376116,4075892481.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=G_BKZ
trajectory_y_state_interval,9.0,G_B,unseen_vehicle,fuel,secondary_unseen_vehicle,cluster-bootstrap percentile,2000.0,VehId,pointwise,0.8736537061831946,0.7632811234722372,0.9955138753985103,mL/segment,,,1046996550.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=G_B
trajectory_y_state_interval,10.0,G_BK,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000.0,VehId,simultaneous,0.11937239711120107,-0.0027492473384141958,0.24149404156081633,mL/segment,2.511283411484752,0.04862917657605718,1046996550.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=G_BK
trajectory_y_state_interval,12.0,G_BKZ,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000.0,VehId,simultaneous,0.02567852951539429,-0.09673435225053259,0.14809141128132117,mL/segment,2.511283411484752,0.04874514808089797,1046996550.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=G_BKZ
trajectory_y_state_interval,16.0,G_B,cold_month,fuel,secondary_cold_month,cluster-bootstrap percentile,2000.0,VehId,pointwise,1.451690514638802,1.1645406580580866,1.7234391004140226,mL/segment,,,3089379780.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=G_B
trajectory_y_state_interval,17.0,G_BK,cold_month,fuel,F_cold_month,max-T,2000.0,VehId,simultaneous,0.545174461007532,0.2829012329608453,0.8074476890542186,mL/segment,2.424230903817816,0.10818822069863229,3089379780.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=G_BK
trajectory_y_state_interval,19.0,G_BKZ,cold_month,fuel,F_cold_month,max-T,2000.0,VehId,simultaneous,0.34033017441110225,0.1082208697802397,0.5724394790419648,mL/segment,2.424230903817816,0.09574554315982182,3089379780.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=G_BKZ
bivariate_horizontal_interval,6.0,A_K,cold_trip,fuel,F_cold_trip,max-T,2000.0,VehId,simultaneous,0.7540238022387911,0.5887944981762511,0.9192531063013311,mL/segment,2.44450524323262,0.06759212504041935,4075892481.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=A_K
bivariate_vertical_interval,37.0,G_Kplus,cold_trip,kplus,kplus_three_core,cluster-bootstrap percentile,2000.0,VehId,Bonferroni,5.553758965759094,4.95128581755216,6.2668298352203005,J/kg,,,2401213563.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=G_Kplus
bivariate_horizontal_interval,13.0,A_K,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000.0,VehId,simultaneous,0.7542813090719935,0.6448256911428619,0.8637369270011251,mL/segment,2.511283411484752,0.04358552978471591,1046996550.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=A_K
bivariate_vertical_interval,38.0,G_Kplus,unseen_vehicle,kplus,kplus_three_core,cluster-bootstrap percentile,2000.0,VehId,Bonferroni,4.7896658022785985,4.415145476959587,5.1715271737699595,J/kg,,,3636502587.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=G_Kplus
bivariate_horizontal_interval,20.0,A_K,cold_month,fuel,F_cold_month,max-T,2000.0,VehId,simultaneous,0.90651605363127,0.5958419099402192,1.2171901973223207,mL/segment,2.424230903817816,0.12815369328135515,3089379780.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=A_K
bivariate_vertical_interval,39.0,G_Kplus,cold_month,kplus,kplus_three_core,cluster-bootstrap percentile,2000.0,VehId,Bonferroni,5.944757097167432,4.858787833854416,7.132929809935872,J/kg,,,1266475083.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_month;statistic=G_Kplus
bivariate_horizontal_interval,7.0,A_Z_given_K,cold_trip,fuel,F_cold_trip,max-T,2000.0,VehId,simultaneous,0.16129940237199847,0.04659356539778371,0.27600523934621324,mL/segment,2.44450524323262,0.046923948022515774,4075892481.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=A_Z_given_K
bivariate_vertical_interval,42.0,G_RPM_given_K,cold_trip,rpm,rpm_three_core,cluster-bootstrap percentile,2000.0,VehId,Bonferroni,3.3679609182120913,1.6830495294389958,5.590912613731847,rpm,,,2386361203.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=cold_trip;statistic=G_RPM_given_K
bivariate_horizontal_interval,14.0,A_Z_given_K,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000.0,VehId,simultaneous,0.09369386759580678,0.01425611479146055,0.173131620400153,mL/segment,2.511283411484752,0.03163233287053812,1046996550.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=A_Z_given_K
bivariate_vertical_interval,43.0,G_RPM_given_K,unseen_vehicle,rpm,rpm_three_core,cluster-bootstrap percentile,2000.0,VehId,Bonferroni,-0.4664834748905662,-2.0481183941264067,1.0001521824163917,rpm,,,3950224765.0,data/energy/data/overlap/BOOTSTRAP_INFERENCE.csv,setting=unseen_vehicle;statistic=G_RPM_given_K
