population_order,population,telemetry_order,telemetry,control,draw,effect_pct,simultaneous_ci_lower_pct,simultaneous_ci_upper_pct,included_in_publication_figure
1,Unseen trip,1,Lower-information,Matched-noise,1,-0.00253398082134799,-0.738574304270151,0.733506342627455,true
1,Unseen trip,1,Lower-information,Matched-noise,2,-0.00968139196128164,-0.742909962979369,0.723547179056806,true
1,Unseen trip,1,Lower-information,Matched-noise,3,-0.0158968408851768,-0.717597402253978,0.685803720483624,true
1,Unseen trip,1,Lower-information,Matched-noise,4,-0.0396271000580699,-0.774290831484908,0.695036631368768,true
1,Unseen trip,1,Lower-information,Matched-noise,5,0.00128370762287043,-0.746824007004021,0.749391422249762,true
1,Unseen trip,1,Lower-information,Matched-noise,6,-0.0311529763125383,-0.793950003734735,0.731644051109659,true
1,Unseen trip,1,Lower-information,Matched-noise,7,-0.0227415999392437,-0.743522736155646,0.698039536277159,true
1,Unseen trip,1,Lower-information,Matched-noise,8,-0.16141557111043,-0.897845347871718,0.575014205650858,true
1,Unseen trip,1,Lower-information,Matched-noise,9,-0.0216919978158151,-0.721526216259042,0.678142220627412,true
1,Unseen trip,1,Lower-information,Matched-noise,10,-0.0276818197982269,-0.746713119120363,0.691349479523909,true
1,Unseen trip,1,Lower-information,Matched-noise,11,-0.0721649964589725,-0.814901224150812,0.670571231232867,true
1,Unseen trip,1,Lower-information,Matched-noise,12,0.0430548580629471,-0.690134429917031,0.776244146042925,true
1,Unseen trip,1,Lower-information,Matched-noise,13,0.0594892160515392,-0.697124191803201,0.816102623906279,true
1,Unseen trip,1,Lower-information,Matched-noise,14,-0.142667195703594,-0.845698658274057,0.560364266866868,true
1,Unseen trip,1,Lower-information,Matched-noise,15,0.00588399215457178,-0.706603834768556,0.718371819077699,true
1,Unseen trip,1,Lower-information,Matched-noise,16,-0.0795610523922576,-0.791126076883127,0.632003972098612,true
1,Unseen trip,1,Lower-information,Matched-noise,17,0.0353119391544486,-0.649402279230084,0.720026157538981,true
1,Unseen trip,1,Lower-information,Matched-noise,18,0.00357780118810637,-0.732725030846914,0.739880633223126,true
1,Unseen trip,1,Lower-information,Matched-noise,19,-0.0289153554813138,-0.759668932788356,0.701838221825728,true
1,Unseen trip,1,Lower-information,Matched-noise,20,-0.0152676509992788,-0.729402285343414,0.698866983344856,true
1,Unseen trip,1,Lower-information,Reassigned-road,1,-0.625831774718217,-0.975397932319194,-0.276265617117241,true
1,Unseen trip,1,Lower-information,Reassigned-road,2,-0.683650207645214,-1.03857837722638,-0.328722038064049,true
1,Unseen trip,1,Lower-information,Reassigned-road,3,-0.605501885976337,-0.926392378306297,-0.284611393646377,true
1,Unseen trip,1,Lower-information,Reassigned-road,4,-0.559153986657941,-0.890843168187916,-0.227464805127966,true
1,Unseen trip,1,Lower-information,Reassigned-road,5,-0.618987723516421,-0.973921572337898,-0.264053874694945,true
1,Unseen trip,1,Lower-information,Reassigned-road,6,-0.615907113989215,-0.936968385081053,-0.294845842897377,true
1,Unseen trip,1,Lower-information,Reassigned-road,7,-0.588948696717844,-0.930672748960653,-0.247224644475035,true
1,Unseen trip,1,Lower-information,Reassigned-road,8,-0.603636909844396,-0.944912573728184,-0.262361245960607,true
1,Unseen trip,1,Lower-information,Reassigned-road,9,-0.579969041903402,-0.922638922913445,-0.23729916089336,true
1,Unseen trip,1,Lower-information,Reassigned-road,10,-0.695001082552793,-1.05848932813536,-0.331512836970225,true
1,Unseen trip,1,Lower-information,Reassigned-road,11,-0.526338749971753,-0.847038734916086,-0.20563876502742,true
1,Unseen trip,1,Lower-information,Reassigned-road,12,-0.542781357643807,-0.857441364516732,-0.228121350770882,true
1,Unseen trip,1,Lower-information,Reassigned-road,13,-0.654432117131983,-1.00221909624098,-0.306645138022983,true
1,Unseen trip,1,Lower-information,Reassigned-road,14,-0.581184235837815,-0.911342125516675,-0.251026346158956,true
1,Unseen trip,1,Lower-information,Reassigned-road,15,-0.605405888073427,-0.950738810650482,-0.260072965496373,true
1,Unseen trip,1,Lower-information,Reassigned-road,16,-0.548341267268637,-0.883474098010174,-0.2132084365271,true
1,Unseen trip,1,Lower-information,Reassigned-road,17,-0.582335651030757,-0.903032141740112,-0.261639160321402,true
1,Unseen trip,1,Lower-information,Reassigned-road,18,-0.573173370318042,-0.952906077841942,-0.193440662794141,true
1,Unseen trip,1,Lower-information,Reassigned-road,19,-0.541337069146609,-0.86684846262948,-0.215825675663738,true
1,Unseen trip,1,Lower-information,Reassigned-road,20,-0.583315166296435,-0.906249162556323,-0.260381170036548,true
1,Unseen trip,2,RPM-augmented,Matched-noise,1,-0.324666993553428,-0.902481922055059,0.253147934948203,false
1,Unseen trip,2,RPM-augmented,Matched-noise,2,-0.449304989560803,-1.09862613976081,0.200016160639206,false
1,Unseen trip,2,RPM-augmented,Matched-noise,3,-0.486114289836795,-1.14634455853463,0.174115978861036,false
1,Unseen trip,2,RPM-augmented,Matched-noise,4,-0.420135586512454,-1.06719408229073,0.226922909265823,false
1,Unseen trip,2,RPM-augmented,Matched-noise,5,-0.382114732231543,-1.05806940410234,0.293839939639253,false
1,Unseen trip,2,RPM-augmented,Matched-noise,6,-0.425448962998387,-1.05824184415917,0.207343918162399,false
1,Unseen trip,2,RPM-augmented,Matched-noise,7,-0.358781699296264,-1.02079235884475,0.303228960252227,false
1,Unseen trip,2,RPM-augmented,Matched-noise,8,-0.355781585684536,-0.996508139788516,0.284944968419445,false
1,Unseen trip,2,RPM-augmented,Matched-noise,9,-0.281315735911747,-0.946871193736511,0.384239721913017,false
1,Unseen trip,2,RPM-augmented,Matched-noise,10,-0.314102926850355,-0.977215840444469,0.34900998674376,false
1,Unseen trip,2,RPM-augmented,Matched-noise,11,-0.236220842208657,-0.898331366649335,0.425889682232022,false
1,Unseen trip,2,RPM-augmented,Matched-noise,12,-0.329202753572876,-1.00233176580191,0.343926258656154,false
1,Unseen trip,2,RPM-augmented,Matched-noise,13,-0.445654782258969,-1.10501819838717,0.213708633869233,false
1,Unseen trip,2,RPM-augmented,Matched-noise,14,-0.323900331116177,-0.97061299673361,0.322812334501256,false
1,Unseen trip,2,RPM-augmented,Matched-noise,15,-0.344246209945535,-0.921530502103764,0.233038082212694,false
1,Unseen trip,2,RPM-augmented,Matched-noise,16,-0.39131502777488,-0.98455808499471,0.201928029444949,false
1,Unseen trip,2,RPM-augmented,Matched-noise,17,-0.450788047785934,-1.12591932534368,0.224343229771809,false
1,Unseen trip,2,RPM-augmented,Matched-noise,18,-0.294416786621868,-0.954911381467969,0.366077808224233,false
1,Unseen trip,2,RPM-augmented,Matched-noise,19,-0.305297664296243,-0.9150484478561,0.304453119263614,false
1,Unseen trip,2,RPM-augmented,Matched-noise,20,-0.523501793474453,-1.20698946304869,0.159985876099783,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,1,-0.625807978107784,-0.986122341648463,-0.265493614567104,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,2,-0.735842842268119,-1.08243892314375,-0.389246761392487,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,3,-0.738282124104747,-1.10103090240787,-0.375533345801628,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,4,-0.646420025946964,-0.98341810627996,-0.309421945613968,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,5,-0.660164965854622,-0.978861300931396,-0.341468630777849,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,6,-0.71545783330472,-1.08032516860993,-0.350590497999507,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,7,-0.65449660709321,-0.951899222864904,-0.357093991321516,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,8,-0.644831810943689,-0.99126583857009,-0.298397783317289,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,9,-0.561408513826595,-0.887650490618406,-0.235166537034784,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,10,-0.689477335317367,-1.04913007262599,-0.32982459800874,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,11,-0.589594171983629,-0.895594101464397,-0.283594242502861,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,12,-0.537826368099647,-0.847584791936882,-0.228067944262412,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,13,-0.635344583947229,-0.983364813584126,-0.287324354310332,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,14,-0.548729224185374,-0.862976729034318,-0.23448171933643,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,15,-0.591977928493169,-0.939613241445037,-0.244342615541301,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,16,-0.700208027845377,-1.06788982796233,-0.332526227728424,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,17,-0.665368049266255,-0.97294231678415,-0.357793781748361,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,18,-0.69866832448928,-1.0709598240259,-0.32637682495266,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,19,-0.615167931636393,-0.935850959159858,-0.294484904112927,false
1,Unseen trip,2,RPM-augmented,Reassigned-road,20,-0.61987696656444,-0.953592141568472,-0.286161791560409,false
2,October 2018,1,Lower-information,Matched-noise,1,0.454116321963472,-0.783589643513831,1.69182228744077,true
2,October 2018,1,Lower-information,Matched-noise,2,0.520728911802997,-0.692618835808987,1.73407665941498,true
2,October 2018,1,Lower-information,Matched-noise,3,0.533064390434389,-0.703717495204673,1.76984627607345,true
2,October 2018,1,Lower-information,Matched-noise,4,0.432756892339176,-0.800512203626432,1.66602598830478,true
2,October 2018,1,Lower-information,Matched-noise,5,0.553885025941767,-0.717837722748376,1.82560777463191,true
2,October 2018,1,Lower-information,Matched-noise,6,0.629861304163698,-0.594654901682903,1.8543775100103,true
2,October 2018,1,Lower-information,Matched-noise,7,0.533852289867788,-0.59718178633613,1.66488636607171,true
2,October 2018,1,Lower-information,Matched-noise,8,0.536202038910492,-0.730050608364051,1.80245468618504,true
2,October 2018,1,Lower-information,Matched-noise,9,0.364511219664969,-0.812435690989997,1.54145813031994,true
2,October 2018,1,Lower-information,Matched-noise,10,0.637154277198003,-0.500386221204057,1.77469477560006,true
2,October 2018,1,Lower-information,Matched-noise,11,0.573743451231243,-0.669593586378181,1.81708048884067,true
2,October 2018,1,Lower-information,Matched-noise,12,0.493832054205291,-0.684608592592298,1.67227270100288,true
2,October 2018,1,Lower-information,Matched-noise,13,0.538165887569784,-0.619952378983749,1.69628415412332,true
2,October 2018,1,Lower-information,Matched-noise,14,0.382696097544556,-0.759158504426643,1.52455069951576,true
2,October 2018,1,Lower-information,Matched-noise,15,0.504838272047593,-0.651736394605607,1.66141293870079,true
2,October 2018,1,Lower-information,Matched-noise,16,0.533367189330395,-0.656632922078819,1.72336730073961,true
2,October 2018,1,Lower-information,Matched-noise,17,0.63121063878986,-0.576835769281439,1.83925704686116,true
2,October 2018,1,Lower-information,Matched-noise,18,0.491160516365031,-0.688046029435565,1.67036706216563,true
2,October 2018,1,Lower-information,Matched-noise,19,0.540490504523306,-0.629575041408271,1.71055605045488,true
2,October 2018,1,Lower-information,Matched-noise,20,0.633877587911865,-0.543165695127223,1.81092087095095,true
2,October 2018,1,Lower-information,Reassigned-road,1,-0.337045061197407,-0.832960874538925,0.15887075214411,true
2,October 2018,1,Lower-information,Reassigned-road,2,-0.367911378346367,-0.9726717809646,0.236849024271866,true
2,October 2018,1,Lower-information,Reassigned-road,3,-0.340319345466127,-0.907188527345355,0.226549836413101,true
2,October 2018,1,Lower-information,Reassigned-road,4,-0.128932285240649,-0.763038120801566,0.505173550320269,true
2,October 2018,1,Lower-information,Reassigned-road,5,-0.333923809866821,-0.892392840975902,0.22454522124226,true
2,October 2018,1,Lower-information,Reassigned-road,6,-0.280929322511868,-0.887906181765735,0.326047536741999,true
2,October 2018,1,Lower-information,Reassigned-road,7,-0.422236731895627,-0.965088034950503,0.120614571159249,true
2,October 2018,1,Lower-information,Reassigned-road,8,-0.242427646652314,-0.76155383238033,0.276698539075703,true
2,October 2018,1,Lower-information,Reassigned-road,9,-0.335836190467609,-0.890118275860493,0.218445894925274,true
2,October 2018,1,Lower-information,Reassigned-road,10,-0.342571066687447,-0.855920425846712,0.170778292471817,true
2,October 2018,1,Lower-information,Reassigned-road,11,-0.354433209255337,-0.872544410851449,0.163677992340775,true
2,October 2018,1,Lower-information,Reassigned-road,12,-0.259331087833641,-0.857028518933152,0.338366343265869,true
2,October 2018,1,Lower-information,Reassigned-road,13,-0.244461866899159,-0.811471664053875,0.322547930255557,true
2,October 2018,1,Lower-information,Reassigned-road,14,-0.322529775572883,-0.910987509212977,0.265927958067212,true
2,October 2018,1,Lower-information,Reassigned-road,15,-0.308815407549329,-0.881449256168035,0.263818441069377,true
2,October 2018,1,Lower-information,Reassigned-road,16,-0.403285047701466,-0.89610512127275,0.089535025869818,true
2,October 2018,1,Lower-information,Reassigned-road,17,-0.3512650382874,-0.904118787716693,0.201588711141894,true
2,October 2018,1,Lower-information,Reassigned-road,18,-0.418009003524701,-0.999810364165718,0.163792357116316,true
2,October 2018,1,Lower-information,Reassigned-road,19,-0.403395523482135,-0.972895717243764,0.166104670279494,true
2,October 2018,1,Lower-information,Reassigned-road,20,-0.57453667507804,-1.08301618301981,-0.0660571671362748,true
2,October 2018,2,RPM-augmented,Matched-noise,1,-0.105390867072181,-1.17046407275207,0.959682338607712,false
2,October 2018,2,RPM-augmented,Matched-noise,2,-0.129323921516334,-1.14632217656511,0.88767433353244,false
2,October 2018,2,RPM-augmented,Matched-noise,3,-0.0219304754169106,-0.993450037987024,0.949589087153203,false
2,October 2018,2,RPM-augmented,Matched-noise,4,0.00371561161116875,-1.13019441381838,1.13762563704072,false
2,October 2018,2,RPM-augmented,Matched-noise,5,-0.1374555164836,-1.07319616988041,0.798285136913212,false
2,October 2018,2,RPM-augmented,Matched-noise,6,-0.0943342222918375,-1.0374279621159,0.848759517532227,false
2,October 2018,2,RPM-augmented,Matched-noise,7,-0.0246948290162473,-0.958119265549809,0.908729607517314,false
2,October 2018,2,RPM-augmented,Matched-noise,8,0.0151979903197425,-0.873128463239332,0.903524443878817,false
2,October 2018,2,RPM-augmented,Matched-noise,9,0.0452728870833854,-0.886686915460573,0.977232689627344,false
