population_order,population,telemetry_order,telemetry,model,effect_pct,simultaneous_ci_lower_pct,simultaneous_ci_upper_pct
1,Unseen trip,1,Lower-information,HGB,7.288906554249152,5.729357482098585,8.848455626399721
1,Unseen trip,1,Lower-information,Ridge,3.1835165841594355,1.8442232407860517,4.52280992753282
1,Unseen trip,1,Lower-information,CatBoost,6.092891777309547,4.122546227404168,8.063237327214926
1,Unseen trip,2,RPM-augmented,HGB,3.54251484047129,1.80595228456033,5.27907739638225
1,Unseen trip,2,RPM-augmented,Ridge,1.8297992474574798,0.30144057649094996,3.35815791842402
1,Unseen trip,2,RPM-augmented,CatBoost,1.01846782802704,-3.03243392132317,5.0693695773772705
2,October 2018,1,Lower-information,HGB,8.963532549623748,6.516097316706164,11.410967782541332
2,October 2018,1,Lower-information,Ridge,2.207517563720955,-0.3993723951683167,4.814407522610226
2,October 2018,1,Lower-information,CatBoost,8.834747150617394,5.65478972264827,12.01470457858652
2,October 2018,2,RPM-augmented,HGB,4.48782206315366,1.60183260779543,7.37381151851189
2,October 2018,2,RPM-augmented,Ridge,0.89960242902432,-2.23482960479384,4.034034462842491
2,October 2018,2,RPM-augmented,CatBoost,4.74097048815308,1.31560089619151,8.166340080114649
3,Single held-out area,1,Lower-information,HGB,-0.7532842828819598,-4.157926503373271,2.651357937609351
3,Single held-out area,1,Lower-information,Ridge,-51.29860952245758,-76.10112754492057,-26.496091499994584
3,Single held-out area,1,Lower-information,CatBoost,-53.304812639956126,-71.44292235581338,-35.16670292409887
3,Single held-out area,2,RPM-augmented,HGB,-5.48219629508781,-12.777392942472678,1.81300035229704
3,Single held-out area,2,RPM-augmented,Ridge,-24.32844564550274,-35.02288183425579,-13.634009456749679
3,Single held-out area,2,RPM-augmented,CatBoost,-38.67392323126017,-52.42441210278122,-24.92343435973912
4,Motorway-largest-share holdout,1,Lower-information,HGB,-5.45200174856885,-7.184571826849195,-3.719431670288505
4,Motorway-largest-share holdout,1,Lower-information,Ridge,-7.295044930302501,-25.74506263771277,11.154972777107773
4,Motorway-largest-share holdout,1,Lower-information,CatBoost,2.465690172547325,0.2141018722911624,4.717278472803487
4,Motorway-largest-share holdout,2,RPM-augmented,HGB,-7.699100677730179,-10.372867445837821,-5.02533390962253
4,Motorway-largest-share holdout,2,RPM-augmented,Ridge,-10.92659727599342,-32.56471816512948,10.71152361314262
4,Motorway-largest-share holdout,2,RPM-augmented,CatBoost,-11.82898246421853,-14.07285426343218,-9.585110665004889
