path,bytes,sha256,component,license
data/map_matching/TRAJECTORY_BUILD_PARTITIONED_MAP_MATCH_PRODUCTION.md,627,ded713193c44716bae78388f2ae18ac44a80fbe36a35d7fd78f6944eeacd4aba,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0000.parquet,321490,dac5784eeefc3df863412cc4c52724693de30f0f1d00c0c8e85990839d6a5c0f,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0001.parquet,325697,148f4a539224a7d85e5eb2f02abae2230b4f69c957bd6455070adcc6b3000fd7,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0002.parquet,348067,95b59b07e00b5c790c7f9bbb1e877a9e2a40dbc3ed304e613aa81921a9eb0c13,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0003.parquet,285681,7e911e7e251d7ef2c1ea15ecee4fa61cb80f22ede5802f2ca679cbf505da4435,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0004.parquet,323420,0d9418e4f17d6d103948a62195550df80a25a157eb3f1fddab758617632623ea,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0005.parquet,327962,24fd75e4e67feb1e7c342b5ecaca8efd2d6dd0ddfc4690c2daf953d0011201cb,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0006.parquet,335555,ad52ca8c908048a266df6f169919041c30195bcefa807f9edf7cd809b21f06b2,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0007.parquet,300771,1947e87a23ec41358a664eac54d70d6460debb4527cbedd79bd3be02cdf558b3,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0008.parquet,231085,50f7ee99038cfb241709dabf9b3bac171e9eaa39a8c94d6f89d8ff31921996ca,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
data/map_matching/matched_edges/partition_0009.parquet,274864,9b53cd31fe3041f648f25e7256d6fb165c01d1b32f34c5402a174691fe41e31c,TRAJECTORY_BUILD_map_matching,ODbL-1.0 + upstream notices
