feature_name,population,retained_from_training_only
road_semantics_distance_coverage,Unseen trip,true
road_semantics_distance_coverage,October 2018,true
road_semantics_distance_coverage,Single held-out area,true
road_semantics_distance_coverage,Motorway-largest-share holdout,true
functional_road_class_entropy,Unseen trip,true
functional_road_class_entropy,October 2018,true
functional_road_class_entropy,Single held-out area,true
functional_road_class_entropy,Motorway-largest-share holdout,true
speed_limit_kmh_distance_weighted_mean,Unseen trip,true
speed_limit_kmh_distance_weighted_mean,October 2018,true
speed_limit_kmh_distance_weighted_mean,Single held-out area,true
speed_limit_kmh_distance_weighted_mean,Motorway-largest-share holdout,true
speed_limit_distance_coverage,Unseen trip,true
speed_limit_distance_coverage,October 2018,true
speed_limit_distance_coverage,Single held-out area,true
speed_limit_distance_coverage,Motorway-largest-share holdout,true
speed_limit_inferred_distance_share,Unseen trip,false
speed_limit_inferred_distance_share,October 2018,false
speed_limit_inferred_distance_share,Single held-out area,false
speed_limit_inferred_distance_share,Motorway-largest-share holdout,false
functional_road_class_transition_count,Unseen trip,true
functional_road_class_transition_count,October 2018,true
functional_road_class_transition_count,Single held-out area,true
functional_road_class_transition_count,Motorway-largest-share holdout,true
functional_road_class_share_local,Unseen trip,true
functional_road_class_share_local,October 2018,true
functional_road_class_share_local,Single held-out area,true
functional_road_class_share_local,Motorway-largest-share holdout,true
functional_road_class_share_motorway,Unseen trip,true
functional_road_class_share_motorway,October 2018,true
functional_road_class_share_motorway,Single held-out area,true
functional_road_class_share_motorway,Motorway-largest-share holdout,true
functional_road_class_share_other,Unseen trip,true
functional_road_class_share_other,October 2018,false
functional_road_class_share_other,Single held-out area,false
functional_road_class_share_other,Motorway-largest-share holdout,true
functional_road_class_share_primary,Unseen trip,true
functional_road_class_share_primary,October 2018,true
functional_road_class_share_primary,Single held-out area,true
functional_road_class_share_primary,Motorway-largest-share holdout,true
functional_road_class_share_secondary,Unseen trip,true
functional_road_class_share_secondary,October 2018,true
functional_road_class_share_secondary,Single held-out area,true
