feature_order,feature_group,feature_name,role
1,Hierarchy Regulation,road_semantics_distance_coverage,candidate historical road attribute
2,Hierarchy Regulation,functional_road_class_entropy,candidate historical road attribute
3,Hierarchy Regulation,speed_limit_kmh_distance_weighted_mean,candidate historical road attribute
4,Hierarchy Regulation,speed_limit_distance_coverage,candidate historical road attribute
5,Hierarchy Regulation,speed_limit_inferred_distance_share,candidate historical road attribute
6,Hierarchy Regulation,functional_road_class_transition_count,candidate historical road attribute
7,Hierarchy Regulation,functional_road_class_share_local,candidate historical road attribute
8,Hierarchy Regulation,functional_road_class_share_motorway,candidate historical road attribute
9,Hierarchy Regulation,functional_road_class_share_other,candidate historical road attribute
10,Hierarchy Regulation,functional_road_class_share_primary,candidate historical road attribute
11,Hierarchy Regulation,functional_road_class_share_secondary,candidate historical road attribute
12,Hierarchy Regulation,functional_road_class_share_service,candidate historical road attribute
13,Hierarchy Regulation,functional_road_class_share_tertiary,candidate historical road attribute
14,Hierarchy Regulation,speed_limit_provenance_share_advisory,candidate historical road attribute
15,Hierarchy Regulation,speed_limit_provenance_share_directional,candidate historical road attribute
16,Hierarchy Regulation,speed_limit_provenance_share_explicit,candidate historical road attribute
17,Hierarchy Regulation,speed_limit_provenance_share_missing,candidate historical road attribute
18,Hierarchy Regulation,speed_limit_provenance_share_practical,candidate historical road attribute
19,Physical Access,r2_lane_count_distance_weighted_mean,candidate historical road attribute
20,Physical Access,r2_lane_tag_distance_coverage,candidate historical road attribute
21,Physical Access,r2_surface_osm_paved_distance_share,candidate historical road attribute
22,Physical Access,r2_surface_osm_unpaved_distance_share,candidate historical road attribute
23,Physical Access,r2_surface_osm_other_distance_share,candidate historical road attribute
24,Physical Access,r2_surface_osm_missing_distance_share,candidate historical road attribute
25,Physical Access,r2_smoothness_good_distance_share,candidate historical road attribute
26,Physical Access,r2_smoothness_rough_distance_share,candidate historical road attribute
27,Physical Access,r2_smoothness_very_rough_distance_share,candidate historical road attribute
28,Physical Access,r2_smoothness_other_distance_share,candidate historical road attribute
29,Physical Access,r2_smoothness_missing_distance_share,candidate historical road attribute
30,Physical Access,r2_oneway_True_distance_share,candidate historical road attribute
31,Physical Access,r2_oneway_False_distance_share,candidate historical road attribute
32,Physical Access,r2_oneway_reverse_distance_share,candidate historical road attribute
33,Physical Access,r2_oneway_other_distance_share,candidate historical road attribute
34,Physical Access,r2_oneway_missing_distance_share,candidate historical road attribute
35,Physical Access,r2_access_open_distance_share,candidate historical road attribute
36,Physical Access,r2_access_restricted_distance_share,candidate historical road attribute
37,Physical Access,r2_access_other_distance_share,candidate historical road attribute
38,Physical Access,r2_access_missing_distance_share,candidate historical road attribute
39,Physical Access,r2_motor_vehicle_open_distance_share,candidate historical road attribute
40,Physical Access,r2_motor_vehicle_restricted_distance_share,candidate historical road attribute
41,Physical Access,r2_motor_vehicle_other_distance_share,candidate historical road attribute
42,Physical Access,r2_motor_vehicle_missing_distance_share,candidate historical road attribute
43,Physical Access,r2_bridge_osm_true_distance_share,candidate historical road attribute
44,Physical Access,r2_bridge_osm_false_distance_share,candidate historical road attribute
45,Physical Access,r2_bridge_osm_other_distance_share,candidate historical road attribute
46,Physical Access,r2_bridge_osm_missing_distance_share,candidate historical road attribute
47,Physical Access,r2_tunnel_osm_true_distance_share,candidate historical road attribute
48,Physical Access,r2_tunnel_osm_false_distance_share,candidate historical road attribute
49,Physical Access,r2_tunnel_osm_other_distance_share,candidate historical road attribute
50,Physical Access,r2_tunnel_osm_missing_distance_share,candidate historical road attribute
51,Physical Access,r2_roundabout_osm_true_distance_share,candidate historical road attribute
52,Physical Access,r2_roundabout_osm_false_distance_share,candidate historical road attribute
53,Physical Access,r2_roundabout_osm_other_distance_share,candidate historical road attribute
54,Physical Access,r2_roundabout_osm_missing_distance_share,candidate historical road attribute
55,Topology,nearest_graph_node_degree_time_weighted_mean,candidate historical road attribute
56,Topology,nearest_graph_node_degree_time_weighted_std,candidate historical road attribute
57,Topology,nearest_graph_node_streets_time_weighted_mean,candidate historical road attribute
58,Topology,nearest_graph_node_streets_time_weighted_std,candidate historical road attribute
59,Topology,nearest_graph_node_distance_m_time_weighted_mean,candidate historical road attribute
60,Topology,nearest_graph_node_distance_m_time_weighted_std,candidate historical road attribute
61,Topology,dead_end_exposure_time_weighted_mean,candidate historical road attribute
62,Topology,dead_end_exposure_time_weighted_std,candidate historical road attribute
63,Topology,edge_density_m_per_km2_250m_time_weighted_mean,candidate historical road attribute
64,Topology,edge_density_m_per_km2_250m_time_weighted_std,candidate historical road attribute
65,Topology,orientation_entropy_250m_time_weighted_mean,candidate historical road attribute
66,Topology,orientation_entropy_250m_time_weighted_std,candidate historical road attribute
67,Traffic Place Objects,intersection_exposure_distance_m_100m,candidate historical road attribute
68,Traffic Place Objects,intersection_exposure_distance_m_250m,candidate historical road attribute
69,Traffic Place Objects,intersection_exposure_distance_m_25m,candidate historical road attribute
70,Traffic Place Objects,intersection_exposure_distance_m_50m,candidate historical road attribute
71,Traffic Place Objects,intersection_exposure_time_s_100m,candidate historical road attribute
72,Traffic Place Objects,intersection_exposure_time_s_250m,candidate historical road attribute
73,Traffic Place Objects,intersection_exposure_time_s_25m,candidate historical road attribute
74,Traffic Place Objects,intersection_exposure_time_s_50m,candidate historical road attribute
75,Traffic Place Objects,intersection_pass_event_count_100m,candidate historical road attribute
76,Traffic Place Objects,intersection_pass_event_count_250m,candidate historical road attribute
77,Traffic Place Objects,intersection_pass_event_count_25m,candidate historical road attribute
78,Traffic Place Objects,intersection_pass_event_count_50m,candidate historical road attribute
79,Traffic Place Objects,intersection_unique_object_count_100m,candidate historical road attribute
80,Traffic Place Objects,intersection_unique_object_count_250m,candidate historical road attribute
81,Traffic Place Objects,intersection_unique_object_count_25m,candidate historical road attribute
82,Traffic Place Objects,intersection_unique_object_count_50m,candidate historical road attribute
83,Traffic Place Objects,poi_exposure_distance_m_100m,candidate historical road attribute
84,Traffic Place Objects,poi_exposure_distance_m_250m,candidate historical road attribute
85,Traffic Place Objects,poi_exposure_distance_m_25m,candidate historical road attribute
86,Traffic Place Objects,poi_exposure_distance_m_50m,candidate historical road attribute
87,Traffic Place Objects,poi_exposure_time_s_100m,candidate historical road attribute
88,Traffic Place Objects,poi_exposure_time_s_250m,candidate historical road attribute
89,Traffic Place Objects,poi_exposure_time_s_25m,candidate historical road attribute
90,Traffic Place Objects,poi_exposure_time_s_50m,candidate historical road attribute
91,Traffic Place Objects,poi_pass_event_count_100m,candidate historical road attribute
92,Traffic Place Objects,poi_pass_event_count_250m,candidate historical road attribute
93,Traffic Place Objects,poi_pass_event_count_25m,candidate historical road attribute
94,Traffic Place Objects,poi_pass_event_count_50m,candidate historical road attribute
95,Traffic Place Objects,poi_primary_type_diversity_100m,candidate historical road attribute
96,Traffic Place Objects,poi_primary_type_diversity_250m,candidate historical road attribute
97,Traffic Place Objects,poi_primary_type_diversity_25m,candidate historical road attribute
98,Traffic Place Objects,poi_primary_type_diversity_50m,candidate historical road attribute
99,Traffic Place Objects,poi_unique_object_count_100m,candidate historical road attribute
100,Traffic Place Objects,poi_unique_object_count_250m,candidate historical road attribute
101,Traffic Place Objects,poi_unique_object_count_25m,candidate historical road attribute
102,Traffic Place Objects,poi_unique_object_count_50m,candidate historical road attribute
103,Traffic Place Objects,public_transport_exposure_distance_m_100m,candidate historical road attribute
104,Traffic Place Objects,public_transport_exposure_distance_m_250m,candidate historical road attribute
105,Traffic Place Objects,public_transport_exposure_distance_m_25m,candidate historical road attribute
106,Traffic Place Objects,public_transport_exposure_distance_m_50m,candidate historical road attribute
107,Traffic Place Objects,public_transport_exposure_time_s_100m,candidate historical road attribute
108,Traffic Place Objects,public_transport_exposure_time_s_250m,candidate historical road attribute
109,Traffic Place Objects,public_transport_exposure_time_s_25m,candidate historical road attribute
110,Traffic Place Objects,public_transport_exposure_time_s_50m,candidate historical road attribute
111,Traffic Place Objects,public_transport_pass_event_count_100m,candidate historical road attribute
112,Traffic Place Objects,public_transport_pass_event_count_250m,candidate historical road attribute
113,Traffic Place Objects,public_transport_pass_event_count_25m,candidate historical road attribute
114,Traffic Place Objects,public_transport_pass_event_count_50m,candidate historical road attribute
115,Traffic Place Objects,public_transport_unique_object_count_100m,candidate historical road attribute
116,Traffic Place Objects,public_transport_unique_object_count_250m,candidate historical road attribute
117,Traffic Place Objects,public_transport_unique_object_count_25m,candidate historical road attribute
118,Traffic Place Objects,public_transport_unique_object_count_50m,candidate historical road attribute
119,Traffic Place Objects,traffic_control_exposure_distance_m_100m,candidate historical road attribute
120,Traffic Place Objects,traffic_control_exposure_distance_m_250m,candidate historical road attribute
121,Traffic Place Objects,traffic_control_exposure_distance_m_25m,candidate historical road attribute
122,Traffic Place Objects,traffic_control_exposure_distance_m_50m,candidate historical road attribute
123,Traffic Place Objects,traffic_control_exposure_time_s_100m,candidate historical road attribute
124,Traffic Place Objects,traffic_control_exposure_time_s_250m,candidate historical road attribute
125,Traffic Place Objects,traffic_control_exposure_time_s_25m,candidate historical road attribute
126,Traffic Place Objects,traffic_control_exposure_time_s_50m,candidate historical road attribute
127,Traffic Place Objects,traffic_control_pass_event_count_100m,candidate historical road attribute
128,Traffic Place Objects,traffic_control_pass_event_count_250m,candidate historical road attribute
129,Traffic Place Objects,traffic_control_pass_event_count_25m,candidate historical road attribute
130,Traffic Place Objects,traffic_control_pass_event_count_50m,candidate historical road attribute
131,Traffic Place Objects,traffic_control_unique_object_count_100m,candidate historical road attribute
132,Traffic Place Objects,traffic_control_unique_object_count_250m,candidate historical road attribute
133,Traffic Place Objects,traffic_control_unique_object_count_25m,candidate historical road attribute
134,Traffic Place Objects,traffic_control_unique_object_count_50m,candidate historical road attribute
135,Built Environment,building_coverage_ratio_100m_time_weighted_mean,candidate historical road attribute
136,Built Environment,building_coverage_ratio_100m_time_weighted_std,candidate historical road attribute
137,Built Environment,building_coverage_ratio_250m_time_weighted_mean,candidate historical road attribute
138,Built Environment,building_coverage_ratio_250m_time_weighted_std,candidate historical road attribute
139,Built Environment,landuse_coverage_ratio_100m_time_weighted_mean,candidate historical road attribute
140,Built Environment,landuse_coverage_ratio_100m_time_weighted_std,candidate historical road attribute
141,Built Environment,landuse_coverage_ratio_250m_time_weighted_mean,candidate historical road attribute
142,Built Environment,landuse_coverage_ratio_250m_time_weighted_std,candidate historical road attribute
