setting,training_loss,scale,n_blocks,n_trips,n_vehicles,n_segments,target_volume,target_unit,baseline_error,road_error,baseline_raw_error_mL,road_raw_error_mL,raw_gain_mL,D,CI_lower,CI_upper,CI_method,family,bootstrap_sd,critical
cold_trip,absolute_error,1,1208,134,78,1208,78807.1283362898,mL,25.64459024029861,23.999222618861268,20209.765141987773,18913.098168957888,1296.6669730298854,1.6453676214373425,0.9657752530903926,2.3249599897842925,six-endpoint simultaneous max-T,cold_trip_absolute_error_D_six,0.2829475356731898,2.4018317273202654
cold_trip,absolute_error,2,604,134,78,1208,78807.1283362898,mL,21.357611582366907,20.4277890994333,16831.32036928218,16098.553971857018,732.7663974251627,0.9298224829336055,0.2741497403334662,1.585495225533745,six-endpoint simultaneous max-T,cold_trip_absolute_error_D_six,0.2729886257817388,2.4018317273202654
cold_trip,absolute_error,4,302,134,78,1208,78807.1283362898,mL,18.56241634596472,18.352836471520867,14628.507272080853,14463.343391460849,165.16388062000442,0.20957987444385576,-0.5675752227453257,0.9867349716330371,six-endpoint simultaneous max-T,cold_trip_absolute_error_D_six,0.32356767060290975,2.4018317273202654
cold_trip,absolute_error,8,151,134,78,1208,78807.1283362898,mL,16.976520548237733,16.710189475273435,13378.708335486319,13168.820465015924,209.88787047039477,0.2663310729643016,-0.6145000377691971,1.1471621836978003,six-endpoint simultaneous max-T,cold_trip_absolute_error_D_six,0.36673306489969887,2.4018317273202654
cold_trip,absolute_error,full_prefix,134,134,78,1208,78807.1283362898,mL,16.851749712486725,16.582564095828992,13280.38002282976,13068.242568447466,212.1374543822949,0.26918561665773577,-0.6123829612239369,1.1507541945394084,six-endpoint simultaneous max-T,cold_trip_absolute_error_D_six,0.3670401085363473,2.4018317273202654
cold_trip,absolute_error,complete,134,134,78,1524,96849.06197589655,mL,16.625530712780915,16.48256941431847,16101.670543842903,15963.213867293462,138.4566765494419,0.14296129846244718,-0.6273213879890966,0.9132439849139911,six-endpoint simultaneous max-T,cold_trip_absolute_error_D_six,0.32070634994523606,2.4018317273202654
unseen_vehicle,absolute_error,1,8264,858,145,8264,543687.7863245372,mL,25.49762110857038,24.27724367513974,138627.45177060424,131992.408717981,6635.043052623252,1.2203774334306405,0.8604717780529493,1.580283088808332,six-endpoint simultaneous max-T,unseen_vehicle_absolute_error_D_six,0.1511559460122392,2.3810221487982317
unseen_vehicle,absolute_error,2,4132,858,145,8264,543687.7863245372,mL,21.324791161230543,20.69928269312139,115940.28500282492,112539.47185928974,3400.8131435351825,0.6255084681091538,0.24612482358859922,1.0048921126297086,six-endpoint simultaneous max-T,unseen_vehicle_absolute_error_D_six,0.1593364617427184,2.3810221487982317
unseen_vehicle,absolute_error,4,2066,858,145,8264,543687.7863245372,mL,18.48671437786357,18.372539943835115,100510.0081651464,99889.2557122285,620.7524529178918,0.11417443402845788,-0.33019079394060735,0.5585396619975231,six-endpoint simultaneous max-T,unseen_vehicle_absolute_error_D_six,0.18662792708305917,2.3810221487982317
unseen_vehicle,absolute_error,8,1033,858,145,8264,543687.7863245372,mL,16.72641593438159,16.95029341929254,90939.48052507392,92156.67506686531,-1217.1945417913957,-0.22387748491095033,-0.6531007520154589,0.20534578219355826,six-endpoint simultaneous max-T,unseen_vehicle_absolute_error_D_six,0.18026848986732422,2.3810221487982317
