population_order,population,telemetry_order,telemetry,control,assigned_road_effect_pct,replicates,control_mean_pct,control_min_pct,control_max_pct,minimum_assigned_minus_control_simultaneous_ci_lower_pct
1,Unseen trip,1,Lower-information,Matched-noise,7.28890655424915,20,-0.02611990077515,-0.16141557111043,0.05948921605153,5.82465033905263
1,Unseen trip,1,Lower-information,Reassigned-road,7.28890655424915,20,-0.59576166481205,-0.69500108255279,-0.52633874997175,6.2753123920029
1,Unseen trip,2,RPM-augmented,Matched-noise,3.54251484047129,20,-0.37211558707459,-0.52350179347445,-0.23622084220865,2.34354409496027
1,Unseen trip,2,RPM-augmented,Reassigned-road,3.54251484047129,20,-0.64374758066393,-0.73828212410474,-0.53782636809964,2.37613894951657
2,October 2018,1,Lower-information,Matched-noise,8.96353254962374,20,0.52597574359028,0.36451121966496,0.637154277198,6.09422244155553
2,October 2018,1,Lower-information,Reassigned-road,8.96353254962374,20,-0.33860977367581,-0.57453667507804,-0.12893228524064,6.82924858633989
2,October 2018,2,RPM-augmented,Matched-noise,4.48782206315366,20,-0.09747354035382,-0.32128761918239,0.06782482433038,1.79652457792
2,October 2018,2,RPM-augmented,Reassigned-road,4.48782206315366,20,-0.49085958757925,-0.66432751172796,-0.34395238986003,1.97812895543201
3,Single held-out area,1,Lower-information,Matched-noise,-0.75328428288195,20,0.09145894501797,-0.21014467717414,0.3065955188982,-4.33462829646205
3,Single held-out area,1,Lower-information,Reassigned-road,-0.75328428288195,20,-0.61287678966345,-2.10938867149037,-0.00625544510431221,-6.75658077357853
3,Single held-out area,2,RPM-augmented,Matched-noise,-5.48219629508781,20,-0.54402920084901,-0.81587640844826,-0.26642930202678,-12.9920451408923
3,Single held-out area,2,RPM-augmented,Reassigned-road,-5.48219629508781,20,-1.12733513784031,-2.98710612637237,-0.10355123609765,-14.8399720635431
4,Motorway-largest-share holdout,1,Lower-information,Matched-noise,-5.45200174856885,20,-3.70896381191781,-5.15461950448134,-2.62752668989038,-4.12020436759941
4,Motorway-largest-share holdout,1,Lower-information,Reassigned-road,-5.45200174856885,20,-1.59207789960298,-3.19978522547221,0.27077703135637,-7.29126945099604
4,Motorway-largest-share holdout,2,RPM-augmented,Matched-noise,-7.69910067773018,20,-6.40111059504942,-7.53921149614652,-5.25073848672277,-3.59107566583998
4,Motorway-largest-share holdout,2,RPM-augmented,Reassigned-road,-7.69910067773018,20,-3.13825989060889,-4.82222894170771,0.10714293515864,-9.2933686926283
