statistic,setting,task,family,interval_method,replicate_count,cluster_unit,interval_type,estimate,lower,upper,unit,max_T_critical,bootstrap_sd,seed
G_B,cold_trip,fuel,secondary_cold_trip,cluster-bootstrap percentile,2000,VehId,pointwise,1.2425287181815676,1.093503647337465,1.4074256653110264,mL/segment,,,4075892481
G_BK,cold_trip,fuel,F_cold_trip,max-T,2000,VehId,simultaneous,0.48850491594277656,0.3357678513454803,0.6412419805400729,mL/segment,2.44450524323262,0.062481790546424165,4075892481
G_BZ,cold_trip,fuel,secondary_cold_trip,cluster-bootstrap percentile,2000,VehId,pointwise,0.5323440487811482,0.37491884137285825,0.7226740745165101,mL/segment,,,4075892481
G_BKZ,cold_trip,fuel,F_cold_trip,max-T,2000,VehId,simultaneous,0.3272055135707781,0.18136879532495706,0.4730422318165991,mL/segment,2.44450524323262,0.05965899179376116,4075892481
A_K,cold_trip,fuel,F_cold_trip,max-T,2000,VehId,simultaneous,0.7540238022387911,0.5887944981762511,0.9192531063013311,mL/segment,2.44450524323262,0.06759212504041935,4075892481
A_Z_given_K,cold_trip,fuel,F_cold_trip,max-T,2000,VehId,simultaneous,0.16129940237199847,0.04659356539778371,0.27600523934621324,mL/segment,2.44450524323262,0.046923948022515774,4075892481
A_K_given_Z,cold_trip,fuel,secondary_cold_trip,cluster-bootstrap percentile,2000,VehId,pointwise,0.20513853521037007,0.09875235770781336,0.32615972878334015,mL/segment,,,4075892481
G_B,unseen_vehicle,fuel,secondary_unseen_vehicle,cluster-bootstrap percentile,2000,VehId,pointwise,0.8736537061831946,0.7632811234722372,0.9955138753985103,mL/segment,,,1046996550
G_BK,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000,VehId,simultaneous,0.11937239711120107,-0.0027492473384141958,0.24149404156081633,mL/segment,2.511283411484752,0.04862917657605718,1046996550
G_BZ,unseen_vehicle,fuel,secondary_unseen_vehicle,cluster-bootstrap percentile,2000,VehId,pointwise,0.13177909933012621,-0.016641082646754766,0.28449516109298495,mL/segment,,,1046996550
G_BKZ,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000,VehId,simultaneous,0.02567852951539429,-0.09673435225053259,0.14809141128132117,mL/segment,2.511283411484752,0.04874514808089797,1046996550
A_K,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000,VehId,simultaneous,0.7542813090719935,0.6448256911428619,0.8637369270011251,mL/segment,2.511283411484752,0.04358552978471591,1046996550
A_Z_given_K,unseen_vehicle,fuel,F_unseen_vehicle,max-T,2000,VehId,simultaneous,0.09369386759580678,0.01425611479146055,0.173131620400153,mL/segment,2.511283411484752,0.03163233287053812,1046996550
A_K_given_Z,unseen_vehicle,fuel,secondary_unseen_vehicle,cluster-bootstrap percentile,2000,VehId,pointwise,0.10610056981473193,-0.0017716373508478423,0.21502196149849123,mL/segment,,,1046996550
G_B,cold_month,fuel,secondary_cold_month,cluster-bootstrap percentile,2000,VehId,pointwise,1.451690514638802,1.1645406580580866,1.7234391004140226,mL/segment,,,3089379780
G_BK,cold_month,fuel,F_cold_month,max-T,2000,VehId,simultaneous,0.545174461007532,0.2829012329608453,0.8074476890542186,mL/segment,2.424230903817816,0.10818822069863229,3089379780
G_BZ,cold_month,fuel,secondary_cold_month,cluster-bootstrap percentile,2000,VehId,pointwise,0.6188398083167872,0.35378525661357363,0.9044582640387759,mL/segment,,,3089379780
G_BKZ,cold_month,fuel,F_cold_month,max-T,2000,VehId,simultaneous,0.34033017441110225,0.1082208697802397,0.5724394790419648,mL/segment,2.424230903817816,0.09574554315982182,3089379780
