outer_fold,telemetry,vehicles,trips,segments,mae_telemetry_mL,mae_road_mL,absolute_mae_reduction_mL,relative_mae_reduction_percent,lower_error_fraction,selected_estimator
0,lower_information,39,3007,22558,14.854403387464501,14.337739253386388,0.5166641340781115,3.4781883903470656,0.5128114194520791,hist_gradient_boosting_l1
0,lower_plus_rpm,39,3007,22558,12.221908580897248,12.530793982515808,-0.3088854016185614,-2.5273090497612376,0.4774359429027396,hist_gradient_boosting_l1
1,lower_information,39,3007,22558,18.69139795696188,17.831837546735144,0.8595604102267368,4.598695144183055,0.5301888465289476,hist_gradient_boosting_l1
1,lower_plus_rpm,39,3007,22558,19.746104629738657,19.384329774161802,0.3617748555768546,1.8321327794040092,0.516357833141236,hist_gradient_boosting_l1
2,lower_information,40,3034,22558,16.763324396450002,15.793621414579219,0.969702981870782,5.784669907575956,0.5396311729763277,hist_gradient_boosting_l1
2,lower_plus_rpm,40,3034,22558,14.170005968225315,13.969060114821309,0.20094585340400645,1.4181070484698841,0.5131217306498803,hist_gradient_boosting_l1
3,lower_information,40,2937,22559,16.64327621402009,15.60792522482368,1.0353509891964132,6.220836425969102,0.5558313755042333,hist_gradient_boosting_l1
3,lower_plus_rpm,40,2937,22559,14.290787690517579,14.095872562690378,0.19491512782720233,1.3639215139731946,0.5162019593067069,hist_gradient_boosting_l1
4,lower_information,39,2662,22554,19.26230907836019,18.2564539058903,1.005855172469889,5.2218826329595895,0.5559545978540392,lightgbm_l1
4,lower_plus_rpm,39,2662,22554,18.269974500255678,18.05677537310443,0.21319912715124859,1.1669371905705996,0.5212379178859626,lightgbm_l1
